grid,cells,outer_iterations,cpu_min_s,cpu_median_s,cpu_mean_s,cpu_stddev_s,gpu_min_s,gpu_median_s,gpu_mean_s,gpu_stddev_s,speedup,transfer_pct,max_abs_velocity_error,max_abs_pressure_error,converged
20x20,400,200,0.332967,0.344626,0.3451,0.0101062,10.7233,12.131,12.326,1.39505,0.0284086,44.898,9.1154e-09,5.34252e-08,yes
40x40,1600,200,1.42481,1.42528,1.43897,0.0196864,22.3192,22.7799,22.7626,0.355206,0.0625675,44.0978,3.18969e-06,3.01312e-05,yes
80x80,6400,200,6.42422,6.48071,6.5368,0.121473,31.1945,32.93,32.5388,0.977903,0.196803,40.5218,3.9958e-06,4.06328e-05,yes
160x160,25600,60,11.4235,11.5148,11.5831,0.165417,19.9166,20.9773,20.8358,0.699909,0.548918,33.0281,3.29014e-05,0.00133053,yes
320x320,102400,20,28.7735,28.9442,28.917,0.10787,1.45897,1.52606,1.52434,0.052686,18.9667,29.032,0.910685,14.2313,no
640x640,409600,8,93.4409,93.4409,93.4409,0,3.55442,3.55442,3.55442,0,26.2887,14.4412,0.855522,27.0414,no
