grid,cells,outer_iterations,cpu_min_s,cpu_median_s,cpu_mean_s,cpu_stddev_s,gpu_min_s,gpu_median_s,gpu_mean_s,gpu_stddev_s,speedup,transfer_pct,max_abs_velocity_error,max_abs_pressure_error,converged
20x20,400,200,0.284013,0.291785,0.289692,0.00406197,9.92774,12.401,12.0791,1.64108,0.0235291,46.9619,9.1154e-09,5.34252e-08,yes
40x40,1600,200,1.37251,1.39292,1.39886,0.0242973,23.9769,25.4501,25.1203,0.832307,0.0547316,46.7415,3.18969e-06,3.01312e-05,yes
80x80,6400,200,6.69517,6.84458,6.84823,0.126486,37.3697,37.3824,37.7204,0.486958,0.183096,44.3554,3.9958e-06,4.06328e-05,yes
160x160,25600,60,11.7693,11.8777,11.8898,0.103715,19.8826,20.7003,21.0669,1.14631,0.573794,32.57,3.29014e-05,0.00133053,yes
320x320,102400,20,28.0995,28.1507,28.1405,0.0301433,21.6391,21.7286,21.7844,0.146862,1.29556,26.1573,0.000646866,0.029947,yes
640x640,409600,8,90.141,90.141,90.141,0,29.4512,29.4512,29.4512,0,3.06069,12.1656,0.000136636,0.0203432,yes
