family,level,parameter,recipe,built,quality_status,cells,h,aspect_ratio_max,aspect_ratio_mean,non_orthogonality_max_deg,non_orthogonality_mean_deg,skewness_max,skewness_mean,expansion_ratio_max,expansion_ratio_mean,cell_area_min,simple_status,converged,finite,iterations,final_u,final_v,final_p,final_continuity,continuity_contraction,seconds,u_l1,u_l2,u_linf,v_l1,v_l2,v_linf,p_l1,p_l2,p_linf,t_l1,t_l2,t_linf,thermal_status,thermal_iterations,mass_imbalance,max_cell_continuity,energy_imbalance,kinetic_energy,mean_temperature
D3,Q0,1,corrected,1,valid,1024,0.03125,1,1,0,0,0,0,1,1,0.0009765625,Converged,1,1,1177,1.560183e-08,1.528291e-08,9.982704e-08,1.489912e-11,1.000963e+00,13.100,1.3193913416e-03,1.5324127576e-03,3.2792894195e-03,9.5871309708e-04,1.1884290285e-03,3.1497330184e-03,4.7577638151e-03,5.6194040652e-03,1.5727469743e-02,4.0748543990e-03,6.1616158954e-03,1.5223805020e-02,Converged,2,0.000e+00,4.803e-07,3.352e-13,1.876659103768855e-01,4.019395841743946e-01
D3,Q1,1.9565217391304348,corrected,1,valid,1035,0.03108349360801026,1.9565217391304346,1.9565217391304508,0,0,0,0,1,1,0.00096618357487922703,Converged,1,1,1578,1.392743e-08,2.683179e-08,9.993062e-08,3.727562e-11,1.001548e+00,17.476,2.5342988335e-03,3.3605050730e-03,1.0152217677e-02,2.2931598284e-03,2.6861138909e-03,6.9089431209e-03,5.7955251703e-03,7.0380985068e-03,1.8658447855e-02,4.2636254792e-03,6.4335377939e-03,1.6010104196e-02,Converged,2,0.000e+00,1.240e-06,8.437e-13,1.874613895722902e-01,4.019052099170838e-01
D3,Q2,4,corrected,1,valid,1024,0.03125,4,4,0,0,0,0,1,1,0.0009765625,Converged,1,1,2870,2.733197e-08,8.894016e-09,9.998852e-08,5.315570e-11,1.001024e+00,33.817,5.9620027826e-03,8.1369345321e-03,2.5949973151e-02,4.6813680073e-03,5.4769850965e-03,1.1890941923e-02,1.4892349047e-02,1.7585424072e-02,4.9145986884e-02,5.0356598912e-03,7.5576499385e-03,1.9553759163e-02,Converged,2,0.000e+00,1.739e-06,1.483e-12,1.863769096569937e-01,4.017332262790151e-01
D3,Q3,8.2727272727272734,corrected,1,valid,1001,0.031606977062050498,8.2727272727272716,8.2727272727272041,0,0,0,0,1,1,0.000999000999000999,Converged,1,1,1927,2.621183e-08,2.802049e-08,9.999393e-08,1.114073e-11,1.000693e+00,27.242,1.3944303958e-02,1.9375718778e-02,5.2830400022e-02,9.2273634145e-03,1.0934973545e-02,2.2681102025e-02,2.6961044965e-02,3.2137747292e-02,7.9819288105e-02,6.4051060752e-03,9.4629094843e-03,2.5364055554e-02,Converged,2,0.000e+00,3.428e-07,1.005e-12,1.829438090270692e-01,4.017783593664673e-01
D3,Q4,16,corrected,1,valid,1024,0.03125,16,16,0,0,0,0,1,1,0.0009765625,Converged,1,1,1936,9.499957e-08,9.811235e-08,9.269651e-08,3.109906e-12,1.000043e+00,41.057,3.0656613778e-02,4.1461793247e-02,9.7374860016e-02,1.6999789934e-02,2.0688508763e-02,4.6791369588e-02,5.8675496369e-02,6.8823221708e-02,1.4751704437e-01,8.1726631897e-03,1.1751955991e-02,3.3300531746e-02,Converged,2,0.000e+00,2.296e-08,1.089e-12,1.749678832521889e-01,4.025225905766865e-01
