family,level,parameter,recipe,built,quality_status,cells,h,aspect_ratio_max,aspect_ratio_mean,non_orthogonality_max_deg,non_orthogonality_mean_deg,skewness_max,skewness_mean,expansion_ratio_max,expansion_ratio_mean,cell_area_min,simple_status,converged,finite,iterations,final_u,final_v,final_p,final_continuity,continuity_contraction,seconds,u_l1,u_l2,u_linf,v_l1,v_l2,v_linf,p_l1,p_l2,p_linf,t_l1,t_l2,t_linf,thermal_status,thermal_iterations,mass_imbalance,max_cell_continuity,energy_imbalance,kinetic_energy,mean_temperature
smooth_A0.05_corrected,n8,8,corrected,1,valid,64,0.125,1.1702897946223183,1.0973306819207913,30.822038022685373,10.48938622723902,0.066639797198199915,0.026093942617169751,1.1518330224567568,1.0631826875861718,0.012291616148014987,Converged,1,1,935,1.899341e-08,1.935305e-08,9.930008e-08,3.915863e-11,9.973491e-01,0.911,3.4403935310e-02,4.2637830744e-02,9.5394024183e-02,3.4270409550e-02,4.1744307501e-02,9.2669721237e-02,7.1515923273e-02,8.8380902728e-02,1.9284731287e-01,1.5079256336e-02,2.3246029696e-02,6.1577675002e-02,Converged,12,0.000e+00,1.732e-08,9.588e-12,1.638021236554246e-01,3.985220580231041e-01
smooth_A0.05_corrected,n16,16,corrected,1,valid,256,0.062500000000000028,1.1761657960646312,1.0717371309922419,33.837931232775169,11.148088741970151,0.035242393261266547,0.013548953116437406,1.0830191544917107,1.0336050131239807,0.0030395246683761756,Converged,1,1,2237,1.680462e-08,1.678936e-08,9.997941e-08,3.001789e-11,9.998006e-01,9.483,7.5890696777e-03,9.2991864339e-03,2.3120511754e-02,6.4085886988e-03,7.8677040278e-03,2.0828078457e-02,1.5315420787e-02,1.8291879723e-02,5.0013972746e-02,9.7433014427e-03,1.5118913958e-02,4.0619921917e-02,Converged,15,0.000e+00,1.144e-07,5.813e-12,1.838577352701080e-01,3.980034630209714e-01
smooth_A0.05_corrected,n32,32,corrected,1,valid,1024,0.031250000000000007,1.17877400231136,1.0589132403478343,34.618603824276001,11.291500117014571,0.017905182697654586,0.0067314723160760235,1.0414519356301888,1.0170601118523404,0.00075306300800552506,Converged,1,1,3840,1.509116e-08,1.504641e-08,9.995098e-08,3.848317e-11,1.000522e+00,65.117,1.6645676218e-03,2.0786348920e-03,5.1908141546e-03,1.2489775609e-03,1.5247698937e-03,4.2670667655e-03,3.6937744218e-03,4.5387797606e-03,1.3967897895e-02,5.3647577832e-03,8.3250564214e-03,2.1862572313e-02,Converged,18,0.000e+00,1.222e-06,4.612e-12,1.873770878164581e-01,4.007524598635573e-01
smooth_A0.05_corrected,n64,64,corrected,1,valid,4096,0.015624999999999993,1.1793851839966272,1.0523736997506756,34.815432213032508,11.332398533146073,0.0089813448809089418,0.0033388686786857318,1.0206540953470051,1.0085480344244924,0.00018783025490058669,Converged,1,1,1227,3.285900e-08,3.095443e-08,9.998525e-08,5.427939e-12,1.001212e+00,118.444,4.0170173807e-04,5.0845552105e-04,1.3802529907e-03,3.0428531036e-04,3.6867299172e-04,1.0877579537e-03,8.8002634505e-04,1.0869088388e-03,3.6876634483e-03,2.7797257011e-03,4.3052141457e-03,1.1153046430e-02,Converged,19,0.000e+00,1.346e-06,2.213e-11,1.875802619630339e-01,4.028289718100700e-01
