grid,cells,outer_iterations,cpu_min_s,cpu_median_s,cpu_mean_s,cpu_stddev_s,gpu_min_s,gpu_median_s,gpu_mean_s,gpu_stddev_s,speedup,transfer_pct,max_abs_velocity_error,max_abs_pressure_error,converged
20x20,400,200,0.498901,1.22042,1.43978,0.871688,9.54501,10.1573,11.029,1.6844,0.120151,44.8343,5.90568e-08,1.76664e-07,yes
40x40,1600,200,1.71656,1.81278,9.11268,10.3917,21.9306,23.3978,23.0063,0.76994,0.0774764,45.928,1.2261e-05,3.87741e-05,yes
80x80,6400,200,17.0981,39.9627,33.6936,11.8511,30.8996,31.2506,31.4783,0.587882,1.27878,44.3092,2.82933e-05,0.000150131,yes
160x160,25600,60,27.8647,36.341,33.9892,4.36929,19.0864,20.2601,20.2566,0.95397,1.79372,37.679,1.9822e-05,0.000813492,yes
320x320,102400,20,39.7959,40.5532,41.4567,1.83948,19.8106,20.2129,20.0987,0.20515,2.0063,27.7354,0.00155758,0.0492753,yes
640x640,409600,1,32.2374,32.2374,32.2374,0,27.4505,27.4505,27.4505,0,1.17438,13.9276,0.468394,12.7861,no
