grid,cells,outer_iterations,cpu_min_s,cpu_median_s,cpu_mean_s,cpu_stddev_s,gpu_min_s,gpu_median_s,gpu_mean_s,gpu_stddev_s,speedup,transfer_pct,max_abs_velocity_error,max_abs_pressure_error,converged
20x20,400,200,0.300852,0.311041,0.309993,0.00707505,10.711,13.0213,12.3007,1.12571,0.0238871,45.898,9.1154e-09,5.34252e-08,yes
40x40,1600,200,1.38222,1.40094,1.40686,0.0229187,24.3136,24.4735,24.6141,0.318658,0.057243,45.8201,3.18969e-06,3.01312e-05,yes
80x80,6400,200,6.79242,6.8154,6.86604,0.0883745,31.4332,32.8447,33.5518,2.07945,0.207504,41.4507,3.9958e-06,4.06328e-05,yes
160x160,25600,60,11.2821,11.5813,11.5312,0.186327,20.8132,22.8993,22.2045,0.98383,0.50575,35.3415,3.29014e-05,0.00133053,yes
320x320,102400,20,27.4798,27.7579,27.7926,0.270674,19.6809,20.8209,20.6469,0.728159,1.33317,23.7179,0.000646866,0.029947,yes
640x640,409600,8,89.8038,89.8038,89.8038,0,28.033,28.033,28.033,0,3.2035,11.6859,0.000136636,0.0203432,yes
