x,v_numerical,v_reference,error
0.0,0.0,0.0,0.0
0.0625,0.0924653529304321,0.09233,0.00013535293043209773
0.0703,0.10003899495353259,0.10091,-0.0008710050464674074
0.0781,0.10761263697663309,0.1089,-0.0012873630233669053
0.0938,0.12158082221948147,0.12317,-0.0015891777805185359
0.1563,0.1566437752364934,0.16077,-0.004126224763506603
0.2266,0.16698130449661622,0.17507,-0.008088695503383786
0.2344,0.16673625133142359,0.17527,-0.008533748668576424
0.5,0.047946092375663184,0.05454,-0.006593907624336814
0.8047,-0.228544298382573,-0.24533,0.016785701617426985
0.8594,-0.22075371982229705,-0.22445,0.0036962801777029597
0.9063,-0.17458810034788244,-0.16914,-0.005448100347882429
0.9453,-0.11059035290549565,-0.10313,-0.007460352905495654
0.9531,-0.09560006598276348,-0.08864,-0.006960065982763483
0.9609,-0.08060977906003111,-0.07391,-0.006699779060031108
0.9688,-0.06443860273209774,-0.05906,-0.00537860273209774
1.0,0.0,0.0,0.0
