y,u_numerical,u_reference,error
0.0,0.0,0.0,0.0
0.0547,-0.037278812567460566,-0.03717,-0.00010881256746056445
0.0625,-0.042114070512254125,-0.04192,-0.00019407051225412558
0.0703,-0.04650303320566558,-0.04775,0.0012469667943344198
0.1016,-0.06362674763989058,-0.06434,0.0007132523601094121
0.1719,-0.09796241675607317,-0.1015,0.003537583243926834
0.2813,-0.1453979099990002,-0.15662,0.011222090000999801
0.4531,-0.19210838103090516,-0.2109,0.018791618969094842
0.5,-0.1900554504054645,-0.20581,0.015754549594535483
0.6172,-0.1379419306538377,-0.13641,-0.0015319306538376931
0.7344,-0.012380638240386363,0.00332,-0.015700638240386363
0.8516,0.2168885081404068,0.23151,-0.014621491859593189
0.9531,0.6739262115508101,0.68717,-0.01324378844918983
0.9609,0.7230981927028689,0.73722,-0.014121807297131084
0.9688,0.7779311115089256,0.78871,-0.010778888491074445
0.9766,0.833331364976219,0.84123,-0.007898635023781075
1.0,1.0,1.0,0.0
