iteration,u_residual,v_residual,pressure_residual,continuity
0,0.252982,0,0.00314322,8.62649e-08
1,0.114188,0.0133863,0.0026005,9.51295e-08
2,0.0605118,0.0109509,0.00214587,1.02264e-08
3,0.0377697,0.00855059,0.00178487,1.20452e-08
4,0.0269777,0.00686708,0.00151025,6.44455e-08
5,0.0211202,0.00573642,0.0013009,2.72883e-08
6,0.0175125,0.00495903,0.00113854,3.11102e-08
7,0.0150639,0.00439008,0.00100997,4.8615e-08
8,0.013278,0.00396658,0.000906006,6.50446e-08
9,0.0119109,0.00363313,0.000820292,8.05014e-08
10,0.010825,0.00336495,0.000748425,9.10768e-08
11,0.00993885,0.00314304,0.000687289,9.6197e-08
12,0.00920003,0.00295561,0.000634641,9.64366e-08
13,0.00857343,0.00279449,0.000588834,9.07229e-08
14,0.00803367,0.00265641,0.000548627,8.25791e-08
15,0.00756492,0.00253132,0.00051307,8.11889e-08
16,0.00715161,0.00242352,0.000481419,7.88945e-08
17,0.00678525,0.00232595,0.000453082,7.82856e-08
18,0.00645749,0.00223878,0.000427583,7.59056e-08
19,0.00616292,0.00215851,0.000404533,7.57293e-08
20,0.005896,0.00208613,0.00038361,7.50472e-08
21,0.00565285,0.00202032,0.000364544,7.41634e-08
22,0.00543124,0.00195779,0.000347114,7.39438e-08
23,0.00522704,0.00190174,0.000331129,7.24816e-08
24,0.0050389,0.00184959,0.000316425,7.20791e-08
25,0.00486486,0.00180096,0.000302865,7.11718e-08
26,0.00470377,0.00175435,0.000290326,7.04812e-08
27,0.00455312,0.00171249,0.000278705,6.97308e-08
28,0.00441317,0.0016715,0.00026791,6.93274e-08
29,0.0042816,0.00163432,0.000257861,6.76015e-08
30,0.00415824,0.00159914,0.000248487,6.69774e-08
31,0.00404246,0.00156546,0.000239728,6.67766e-08
32,0.00393366,0.00153287,0.000231527,6.64946e-08
33,0.00383012,0.00150398,0.000223836,6.57604e-08
34,0.00373363,0.00147313,0.000216611,6.5882e-08
35,0.00364049,0.00144794,0.000209813,6.48804e-08
36,0.00355399,0.00141949,0.000203407,6.48532e-08
37,0.0034696,0.00139757,0.000197362,6.34172e-08
38,0.00339185,0.00137059,0.00019165,6.37572e-08
39,0.00331544,0.00135032,0.000186246,6.19854e-08
40,0.00324375,0.001328,0.000181125,6.11e-08
41,0.00317519,0.00130685,0.000176268,6.06217e-08
42,0.00311,0.00128573,0.000171655,6.06479e-08
43,0.00304648,0.00126801,0.000167268,5.98731e-08
44,0.00298648,0.00124888,0.000163092,5.91346e-08
45,0.00292894,0.00123058,0.000159113,5.91369e-08
46,0.00287285,0.00121473,0.000155316,5.85556e-08
47,0.00282061,0.00119581,0.000151691,5.87863e-08
48,0.00276838,0.00118196,0.000148226,5.81702e-08
49,0.00271956,0.00116531,0.000144911,5.70478e-08
50,0.00267202,0.00115037,0.000141736,5.73002e-08
51,0.00262629,0.00113575,0.000138693,5.66667e-08
52,0.00258115,0.00112377,0.000135775,5.65815e-08
53,0.00254042,0.0011059,0.000132972,5.60632e-08
54,0.00249807,0.00109533,0.00013028,5.74541e-08
55,0.00245688,0.00108542,0.000127691,5.49386e-08
56,0.00242082,0.00106748,0.0001252,5.41278e-08
57,0.00238225,0.00105838,0.000122802,5.46261e-08
58,0.00234686,0.00104494,0.00012049,5.49083e-08
59,0.0023108,0.00103598,0.000118261,5.46911e-08
