iteration,u_residual,v_residual,w_residual,p_residual,continuity_residual,global_mass_imbalance
43,3.15715057633428678e-05,2.89402452096369115e-05,1.01657461635838570e-05,8.13575533278290012e-06,6.96631486027832709e-10,0.00000000000000000e+00
44,2.91175815325723436e-05,2.66485877011563253e-05,9.37222410760147907e-06,7.49538936090482495e-06,4.02077937523766280e-10,0.00000000000000000e+00
45,2.68505147806215202e-05,2.45369455103683507e-05,8.63615455275052952e-06,6.90106312025669495e-06,4.55680868033458920e-10,0.00000000000000000e+00
46,2.47605134922904668e-05,2.25857901115241347e-05,7.95487626452410856e-06,6.35528858554227509e-06,2.18014068034514190e-10,0.00000000000000000e+00
47,2.28237188383111868e-05,2.07910866806654882e-05,7.32228094706701195e-06,5.85199847929854114e-06,4.43723875518316582e-10,0.00000000000000000e+00
48,2.10340944207206476e-05,1.91369951388505937e-05,6.73671570102890702e-06,5.39210728489790931e-06,3.35558315909496372e-10,0.00000000000000000e+00
49,1.93784128218728874e-05,1.76133419787629336e-05,6.19516370360818632e-06,4.96864636731251992e-06,3.58763664058869623e-10,0.00000000000000000e+00
50,1.78489940468754182e-05,1.62088342702076329e-05,5.69369266446559948e-06,4.57612217608405117e-06,4.37673974639330047e-10,0.00000000000000000e+00
51,1.64352824955438991e-05,1.49150495243771719e-05,5.22997928780113969e-06,4.20854678792206569e-06,2.61263898448788650e-10,0.00000000000000000e+00
52,1.51312322121167004e-05,1.37206164971833788e-05,4.80228565001211680e-06,3.86621536602113726e-06,3.68289597017806739e-10,0.00000000000000000e+00
53,1.39288685520050331e-05,1.26219776296812005e-05,4.40749549503805635e-06,3.55191503641517844e-06,2.04508493341439532e-10,0.00000000000000000e+00
54,1.28198192375951159e-05,1.16113817919768509e-05,4.04366536547475812e-06,3.26404675316243009e-06,2.57640621199332192e-10,0.00000000000000000e+00
55,1.17967952827841720e-05,1.06809657409655122e-05,3.70938182189869267e-06,2.99839643354539397e-06,2.39301597827237121e-10,0.00000000000000000e+00
56,1.08538110835263808e-05,9.82481961273871430e-06,3.40185237901382372e-06,2.75445786763338985e-06,1.09588828201127184e-10,0.00000000000000000e+00
57,9.98631869270567928e-06,9.03699637031692522e-06,3.11897029805641002e-06,2.53142187877633574e-06,1.11100830369933365e-10,0.00000000000000000e+00
58,9.18802732575385834e-06,8.31211398827801054e-06,2.85911092874624589e-06,2.32767878553265093e-06,2.04503682996544561e-10,0.00000000000000000e+00
59,8.45304972090182936e-06,7.64505678228115142e-06,2.62054414787292621e-06,2.14085790002711212e-06,1.96469261185937330e-10,0.00000000000000000e+00
60,7.77566551839530562e-06,7.03167831970924755e-06,2.40140424027882601e-06,1.96862928036619013e-06,7.63799567914277074e-11,0.00000000000000000e+00
61,7.15158733053831638e-06,6.46745365095057650e-06,2.20025590591474260e-06,1.80899425204448815e-06,1.22615549442159336e-10,0.00000000000000000e+00
62,6.57706530641036653e-06,5.94802740520657593e-06,2.01549232244866606e-06,1.66275810379948491e-06,1.37272844429122711e-10,0.00000000000000000e+00
63,6.04813424099267800e-06,5.47031600364091900e-06,1.84614015622356945e-06,1.52876300702084362e-06,1.15547984835593108e-10,0.00000000000000000e+00
64,5.56094597650658701e-06,5.03091419645543756e-06,1.69098712545616491e-06,1.40468000378171661e-06,1.34490264972770077e-10,0.00000000000000000e+00
65,5.11300764116319623e-06,4.62663649279200769e-06,1.54875457245047145e-06,1.29010949769658505e-06,1.28033853588546235e-10,0.00000000000000000e+00
66,4.70100118321595796e-06,4.25483743041427105e-06,1.41829766768647970e-06,1.18517429476196673e-06,8.29029713907920537e-11,0.00000000000000000e+00
67,4.32188081972070821e-06,3.91290224656822373e-06,1.29894656480452216e-06,1.08889272608017076e-06,1.02425703131100046e-10,0.00000000000000000e+00
68,3.97337462717767057e-06,3.59829740177143284e-06,1.18969532554781485e-06,1.00058598307912079e-06,3.97650147595313210e-12,0.00000000000000000e+00
69,3.65271012280791428e-06,3.30913921749544870e-06,1.08957613159785982e-06,9.19461850667086876e-07,6.81367769872968362e-11,0.00000000000000000e+00
70,3.35807158437428091e-06,3.04294317303651425e-06,9.98041829759755969e-07,8.44905448472915771e-07,7.82178838440092807e-11,0.00000000000000000e+00
71,3.08701377096711260e-06,2.79829347747503589e-06,9.14160796877262339e-07,7.76350554593604486e-07,5.70099952732655090e-11,0.00000000000000000e+00
72,2.83776589249844046e-06,2.57332892881695216e-06,8.37293483913362705e-07,7.13330978026617213e-07,5.75585732338756858e-11,0.00000000000000000e+00
73,2.60863651656252835e-06,2.36640684384647587e-06,7.66981077974829777e-07,6.55424030178557122e-07,5.95286202975403221e-11,0.00000000000000000e+00
74,2.39799457970431857e-06,2.17608649857927244e-06,7.02627930117093141e-07,6.02199902760443410e-07,3.67178047895986267e-11,0.00000000000000000e+00
75,2.20429021856794416e-06,2.00112600147086305e-06,6.43694980715024637e-07,5.53294372471215417e-07,4.04230356373533072e-11,0.00000000000000000e+00
76,2.02627433978795681e-06,1.84017387492660795e-06,5.89783965056332258e-07,5.08374075368340381e-07,2.28976724569009242e-11,0.00000000000000000e+00
77,1.86255299630778395e-06,1.69221089892816177e-06,5.40420532188797280e-07,4.67043443256326967e-07,4.24980490340955577e-11,0.00000000000000000e+00
78,1.71201303767176345e-06,1.55608539910108797e-06,4.95265569500768295e-07,4.28739556892721418e-07,3.52428911870897408e-11,0.00000000000000000e+00
79,1.57365247759748640e-06,1.43096608272981559e-06,4.53896603016981496e-07,3.93719851283466455e-07,2.67404599501069924e-11,0.00000000000000000e+00
80,1.44649945510244066e-06,1.31588454633876175e-06,4.16033561986693170e-07,3.61674732000502233e-07,5.61527208359175634e-12,0.00000000000000000e+00
81,1.32954040027188969e-06,1.21007105860790634e-06,3.81366198208213568e-07,3.32288886925626119e-07,4.68892172862882435e-12,0.00000000000000000e+00
82,1.22190980554748165e-06,1.11272545306211659e-06,3.49636774395753536e-07,3.05274452838427499e-07,2.73665188663264807e-11,0.00000000000000000e+00
83,1.12310435758060415e-06,1.02314244827848159e-06,3.20604110874078529e-07,2.80464889651945865e-07,2.59676487382700199e-11,0.00000000000000000e+00
84,1.03225513269134885e-06,9.40823246207406286e-07,2.93976392434837999e-07,2.57677886527845068e-07,2.31832746837950515e-11,0.00000000000000000e+00
85,9.48777684389687956e-07,8.65111933190167545e-07,2.69589915550417603e-07,2.36757799393123972e-07,1.53570412690280836e-11,0.00000000000000000e+00
