iteration,u_residual,v_residual,w_residual,p_residual,continuity_residual,global_mass_imbalance
43,7.71185235202892487e-07,1.43269763738177222e-07,1.43269771973347108e-07,6.10887668960457380e-08,9.29168174427161951e-14,1.33374604763258908e-12
44,5.67324013149624267e-07,1.06207524234818458e-07,1.06207529980252826e-07,4.53845244530683145e-08,6.90437815863067150e-14,1.33374604763258908e-12
45,4.17316396290996247e-07,7.87179448035793357e-08,7.87179491928229782e-08,3.37028064937397849e-08,4.87888504677769725e-15,1.33374604763258908e-12
46,3.06932762199277335e-07,5.83339091221371868e-08,5.83339124881682980e-08,2.50182831388052283e-08,2.95994454711085407e-14,1.33374604763258908e-12
47,2.25758527165659615e-07,4.32220878168438190e-08,4.32220903630099493e-08,1.85654162368995724e-08,3.05660283966605164e-14,1.33374604763258908e-12
48,1.66036824636260144e-07,3.20208076840101414e-08,3.20208095444570700e-08,1.37728958516407799e-08,2.45823701475383520e-14,1.33374604763258908e-12
49,1.22096691919028182e-07,2.37196058029878558e-08,2.37196071325169385e-08,1.02148438668014211e-08,1.49967775499032797e-14,1.33374604763258908e-12
50,8.97774121372768657e-08,1.75687164221681912e-08,1.75687173634525161e-08,7.57424904704494988e-09,8.85905536435606712e-15,1.33374604763258908e-12
51,6.60098523328901547e-08,1.30117320919826644e-08,1.30117327457887782e-08,5.61517372980138941e-09,9.22082413750432085e-15,1.33374604763258908e-12
52,4.85314841762737916e-08,9.63593101234903287e-09,9.63593147757884670e-09,4.16208449822276683e-09,4.31396494301745241e-15,1.33374604763258908e-12
53,3.56751670343338093e-08,7.13541575959455483e-09,7.13541608018858856e-09,3.08453471903417051e-09,2.96848136755552182e-15,1.33374604763258908e-12
54,2.62228328906627726e-08,5.28344032947596219e-09,5.28344056370805518e-09,2.28565499633487955e-09,4.06184649861850119e-15,1.33374604763258908e-12
55,1.92728376913381843e-08,3.91189244544129037e-09,3.91189260488147923e-09,1.69347393644488187e-09,2.69062253909241579e-15,1.33374604763258908e-12
56,1.41681199658316737e-08,2.89623448622384397e-09,2.89623459479225352e-09,1.25459597649188470e-09,1.77405232412623112e-15,1.33374604763258908e-12
57,1.04111096431412358e-08,2.14412524740722124e-09,2.14412531827325836e-09,9.29347607901661063e-10,1.43696649911483160e-15,1.33374604763258908e-12
58,7.64961713728946518e-09,1.58727496330891912e-09,1.58727501981380213e-09,6.88355427168194529e-10,1.23451793631514095e-15,1.33374604763258908e-12
59,5.62081620972476920e-09,1.17498242966102312e-09,1.17498246517309099e-09,5.09818486973109253e-10,7.06239119425422584e-16,1.33374604763258908e-12
60,4.12891382775435380e-09,8.69757480497721757e-10,8.69757503765156920e-10,3.77556649945734578e-10,5.95225042623699125e-16,1.33374604763258908e-12
61,3.03318584092201689e-09,6.43808072641825719e-10,6.43808089479628891e-10,2.79593004737033658e-10,1.06517285653361008e-15,1.33374604763258908e-12
62,2.22808416290913956e-09,4.76535970117260222e-10,4.76535981669904022e-10,2.07036267083265435e-10,1.58971060357258700e-15,1.33374604763258908e-12
63,1.63633410850037799e-09,3.52716979027873342e-10,3.52716988406410835e-10,1.53297290775243185e-10,1.78936688627011881e-15,1.33374604763258908e-12
64,1.20136667588513489e-09,2.61065203642553137e-10,2.61065217975611590e-10,1.13501475150002342e-10,1.36679351299514908e-15,1.33374604763258908e-12
65,8.82651693018110459e-10,1.93228944054637579e-10,1.93228961985366267e-10,8.40382372315691203e-11,1.31996912142071975e-15,1.33374604763258908e-12
