case,grid,cells,faces,arm,scheme,repeat,outer_budget,outer_iterations,wall_seconds,setup_s,momentum_assembly_s,momentum_solve_s,response_s,predicted_flux_s,pressure_assembly_s,pressure_solve_s,velocity_correction_s,face_flux_correction_s,bookkeeping_s,other_s,discretization_s,linear_solve_s,status,gpu_discretization,all_finite,mass_imbalance,u_residual,v_residual,p_residual,continuity_residual,momentum_lin_iters,pressure_lin_iters,h2d_calls,h2d_bytes,d2h_calls,d2h_bytes,allocations,reallocations,kernels,syncs,peak_device_bytes,device_used_bytes_after,gpu_solve_s
inletoutlet2d,40x40,1600,3280,gpu-disc,upwind,2,200,200,19.903,0.0148129,0.783927,3.2582,0.00754325,0.001186,0.155774,15.4575,0.169859,0.0327543,0.00978476,0.010528,1.15104,18.7157,MaxIterations,1,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,4495,92987008,119610,122552664,371,0,358727,115810,8070552,1351815168,18.7018
inletoutlet2d,40x40,1600,3280,gpu-disc,upwind,3,200,200,21.2576,0.0149304,0.803838,3.51915,0.0109208,0.00109029,0.16898,16.5149,0.170914,0.0311914,0.0101123,0.0103618,1.18693,20.0341,MaxIterations,1,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,4495,92987008,119610,122552664,371,0,358727,115810,8070552,1351815168,20.0167
inletoutlet2d,40x40,1600,3280,gpu-disc,upwind,4,200,200,21.5126,0.0189623,0.805031,3.55491,0.00958594,0.00117531,0.16607,16.7277,0.172855,0.0328443,0.0106092,0.0116563,1.18756,20.2826,MaxIterations,1,1,1.88736e-06,0.0016154,0.00195696,0.00979152,2.38296e-09,4873,24078,4495,92987008,119610,122552664,371,0,358727,115810,8070552,1351815168,20.2672
inletoutlet2d,40x40,1600,3280,disc-only,upwind,0,200,200,2.40138,0.0148975,0.817419,0.262344,0.0132765,0.00149355,0.162212,0.753262,0.304744,0.03427,0.0088953,0.0276397,1.33342,1.01561,MaxIterations,1,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,2691,39843952,3200,103556800,345,0,9800,0,7538056,1351815168,0
inletoutlet2d,40x40,1600,3280,disc-only,upwind,1,200,200,2.7092,0.0152506,0.900008,0.344842,0.0156525,0.00163953,0.178172,0.768342,0.390265,0.0502849,0.0100569,0.0336717,1.53602,1.11318,MaxIterations,1,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,2691,39843952,3200,103556800,345,0,9800,0,7538056,1351815168,0
inletoutlet2d,40x40,1600,3280,disc-only,upwind,2,200,200,2.5404,0.0154556,0.835365,0.316431,0.0153023,0.00125449,0.162037,0.743108,0.378199,0.0347651,0.0091542,0.0282697,1.42692,1.05954,MaxIterations,1,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,2691,39843952,3200,103556800,345,0,9800,0,7538056,1351815168,0
inletoutlet2d,40x40,1600,3280,disc-only,upwind,3,200,200,2.55125,0.0150901,0.868155,0.300819,0.0143411,0.00150384,0.169175,0.727993,0.373816,0.0398808,0.00988766,0.0294877,1.46687,1.02881,MaxIterations,1,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,2691,39843952,3200,103556800,345,0,9800,0,7538056,1351815168,0
inletoutlet2d,40x40,1600,3280,disc-only,upwind,4,200,200,2.58688,0.0168209,0.870549,0.317947,0.0157475,0.00120543,0.169762,0.722335,0.385052,0.0456887,0.00891018,0.0318266,1.488,1.04028,MaxIterations,1,1,1.878e-06,0.00161547,0.00195692,0.00979153,2.32341e-09,4872,24048,2691,39843952,3200,103556800,345,0,9800,0,7538056,1351815168,0
inletoutlet2d,160x160,25600,51520,cpu,upwind,0,60,60,15.9258,0.00115549,3.97841,0.855825,0.0137655,0.0714368,0.661307,9.85924,0.410495,0.0116441,0.043365,0.0189072,5.14706,10.7151,MaxIterations,0,1,7.49946e-06,0.00669925,0.00863504,0.00614157,6.22333e-10,1459,17561,0,0,0,0,0,0,0,0,0,1351815168,0
inletoutlet2d,160x160,25600,51520,cpu,upwind,1,60,60,15.4076,0.0012916,3.79433,0.820684,0.0135473,0.0706435,0.530286,9.6637,0.402707,0.013307,0.0430879,0.0539028,4.82482,10.4844,MaxIterations,0,1,7.49946e-06,0.00669925,0.00863504,0.00614157,6.22333e-10,1459,17561,0,0,0,0,0,0,0,0,0,1351815168,0
inletoutlet2d,160x160,25600,51520,cpu,upwind,2,60,60,14.7678,0.00124868,3.59181,0.790921,0.0118666,0.0686964,0.480677,9.31253,0.393377,0.0112257,0.042451,0.0629097,4.55765,10.1035,MaxIterations,0,1,7.49946e-06,0.00669925,0.00863504,0.00614157,6.22333e-10,1459,17561,0,0,0,0,0,0,0,0,0,1351815168,0
inletoutlet2d,160x160,25600,51520,gpu-pipe,upwind,0,60,60,18.2736,0.00120961,4.13808,1.31632,0.0114182,0.0615333,0.523193,11.7062,0.38688,0.0117656,0.0438661,0.0716496,5.13287,13.0225,MaxIterations,0,1,7.60377e-06,0.00669985,0.00863449,0.00614156,6.1888e-10,1459,17786,544,259573776,77112,144415200,28,2,231270,76932,8583368,1351815168,13.0125
inletoutlet2d,160x160,25600,51520,gpu-pipe,upwind,1,60,60,19.8356,0.00129219,4.22838,1.48985,0.0116904,0.0629343,0.52116,12.9705,0.414108,0.012712,0.0465006,0.0749447,5.25099,14.4604,MaxIterations,0,1,7.60377e-06,0.00669985,0.00863449,0.00614156,6.1888e-10,1459,17786,544,259573776,77112,144415200,26,0,231270,76932,8581136,1351815168,14.4497
