grid,nx,ny,cells,first_cell_y_plus,achieved_re_tau,re_tau_relative_error,outer_l2,global_mass_imbalance,iterations,runtime_seconds
coarse,48,12,576,9.68886,116.266,0.354076,13.0701,9.50925e-09,1223,32.2373
medium,64,16,1024,8.2318,131.709,0.268285,8.62361,2.91797e-09,1286,56.8455
fine,96,24,2304,6.69426,160.662,0.107432,3.16504,9.03104e-09,1360,151.684
