grid,nx,ny,cells,first_cell_y_plus,achieved_re_tau,re_tau_relative_error,outer_l2,global_mass_imbalance,iterations,runtime_seconds
coarse,48,12,576,9.28553,111.426,0.380964,15.451,3.20003e-10,413,9.84004
medium,64,16,1024,7.56357,121.017,0.327683,11.9853,2.15433e-08,448,20.6339
fine,96,24,2304,5.68372,136.409,0.242171,8.36848,3.66713e-08,489,62.4352
